56,TAPEBRIDGE_RECEIVE_MSGBODY_FROM_RTCPD,"Receiving message body from RTCPD"
57,TAPEBRIDGE_RECEIVED_MSGBODY_FROM_RTCPD,"Received message body from RTCPD"
58,TAPEBRIDGE_RECEIVE_FILERQSTBODY_FROM_RTCPD,"Receiving FileRqstBody from RTCPD"
59,TAPEBRIDGE_RECEIVED_FILERQSTBODY_FROM_RTCPD,"Received FileRqstBody from RTCPD"
60,TAPEBRIDGE_RECEIVE_FILERQSTERRBODY_FROM_RTCPD,"Receiving FileRqstErrBody from RTCPD"
61,TAPEBRIDGE_RECEIVED_FILERQSTERRBODY_FROM_RTCPD,"Received FileRqstErrBody from RTCPD"
62,TAPEBRIDGE_PROCESSING_TAPE_DISK_RQST,"Processing a tape/disk IO request from RTCPD"
63,TAPEBRIDGE_PING_RTCPD,"Pinging RTCPD"
64,TAPEBRIDGE_PINGED_RTCPD,"Pinged RTCPD"
65,TAPEBRIDGE_SEND_ACK_TO_RTCPD,"Sending acknowledge to RTCPD"
66,TAPEBRIDGE_SENT_ACK_TO_RTCPD,"Sent acknowledge to RTCPD"
67,TAPEBRIDGE_SEND_HEADER_TO_RTCPD,"Sending message header to RTCPD"
68,TAPEBRIDGE_SENT_HEADER_TO_RTCPD,"Sent message header to RTCPD"
69,TAPEBRIDGE_RECEIVE_TAPERQSTBODY,"Receiving tape request message body"
70,TAPEBRIDGE_RECEIVED_TAPERQSTBODY,"Received tape request message body"
71,TAPEBRIDGE_RECEIVE_GIVEOUTPBODY,"Receiving GIVE_OUTP message body"
72,TAPEBRIDGE_RECEIVED_GIVEOUTPBODY,"Received GIVE_OUTP message body"
73,TAPEBRIDGE_RECEIVE_TAPERQSTERRBODY,"Receiving tape request message body with error appendix"
74,TAPEBRIDGE_RECEIVED_TAPERQSTERRBODY,"Received tape request message body with error appendix"
75,TAPEBRIDGE_SEND_DELAYED_REQUEST_MORE_WORK_ACK_TO_RTCPD,"Sending delayed acknowledge of request for more work to RTCPD"
76,TAPEBRIDGE_SENT_DELAYED_REQUEST_MORE_WORK_ACK_TO_RTCPD,"Sent delayed acknowledge of request for more work to RTCPD"
77,TAPEBRIDGE_CREATED_RTCPD_CALLBACK_PORT,"Created TCP/IP port for RTCPD callbacks"
78,TAPEBRIDGE_CONNECTION_CLOSED_BY_RTCPD,"Connection closed by RTCPD"
79,TAPEBRIDGE_CLOSED_CONNECTION,"Connection closed by tapebridge"
80,TAPEBRIDGE_NOTIFY_CLIENT_FILE_MIGRATED,"Notifying client file migrated"
81,TAPEBRIDGE_NOTIFIED_CLIENT_FILE_MIGRATED,"Notified client file migrated"
82,TAPEBRIDGE_NOTIFY_CLIENT_FILE_RECALLED,"Notifying client file recalled"
83,TAPEBRIDGE_NOTIFIED_CLIENT_FILE_RECALLED,"Notified client file recalled"
84,TAPEBRIDGE_NOTIFY_CLIENT_END_OF_SESSION,"Notifying client end of session"
85,TAPEBRIDGE_NOTIFIED_CLIENT_END_OF_SESSION,"Notified client end of session"
86,TAPEBRIDGE_GET_DUMP_PARAMETERS_FROM_CLIENT,"Getting dump parameters from client"
87,TAPEBRIDGE_GOT_DUMP_PARAMETERS_FROM_CLIENT,"Got dump parameters from client"
88,TAPEBRIDGE_NOTIFY_CLIENT_DUMP_MESSAGE,"Notifying client dump message"
89,TAPEBRIDGE_NOTIFIED_CLIENT_DUMP_MESSAGE,"Notified client dump message"
90,TAPEBRIDGE_FAILED_TO_NOTIFY_CLIENT_END_OF_SESSION,"Failed to notify client end of session"
91,TAPEBRIDGE_NOTIFY_CLIENT_END_OF_FAILED_SESSION,"Notifying client end of failed session"
92,TAPEBRIDGE_NOTIFIED_CLIENT_END_OF_FAILED_SESSION,"Notified client end of failed session"
93,TAPEBRIDGE_FAILED_TO_NOTIFY_CLIENT_END_OF_FAILED_SESSION,"Failed to notify client end of failed session"
94,TAPEBRIDGE_SELECT_INTR,"Select interrupted"
95,TAPEBRIDGE_ENTERING_BRIDGE_MODE,"Entering bridge mode"
96,TAPEBRIDGE_PING_CLIENT,"Pinging client"
97,TAPEBRIDGE_PINGED_CLIENT,"Pinged client"
98,TAPEBRIDGE_CLOSED_INITIAL_CALLBACK_CONNECTION,"Closed initial callback connection"
99,TAPEBRIDGE_RECEIVED_TAPE_INFO_FROM_VMGR,"Received tape information from VMGR"
100,TAPEBRIDGE_SENT_FILETOMIGRATEREQUEST_DEPRECATED,"Sent FileToMigrateRequest to client"
