SQL> select VMGR.vmgr_tape_side.poolname, cns_seg_metadata.copyno, cns_class_metadata.name fileclass,
  2         (case when cns_file_metadata.filesize < 300000000 then 1 else 0 end) isSmallFile,
  3         count(*), sum(cns_file_metadata.filesize)
  4    from cns_seg_metadata, cns_file_metadata, cns_class_metadata, VMGR.vmgr_tape_side
  5   where cns_seg_metadata.s_fileid = cns_file_metadata.fileid
  6     and cns_file_metadata.fileclass = cns_class_metadata.classid
  7     and cns_seg_metadata.vid = VMGR.vmgr_tape_side.VID
  8   group by VMGR.vmgr_tape_side.poolname, cns_seg_metadata.copyno, cns_class_metadata.name,
  9            (case when cns_file_metadata.filesize < 300000000 then 1 else 0 end)
 10   order by cns_class_metadata.name, cns_seg_metadata.copyno, VMGR.vmgr_tape_side.poolname, isSmallFile;

POOLNAME            COPYNO FILECLASS       ISSMALLFILE   COUNT(*) SUM(CNS_FILE_METADATA.FILESIZE)
lep_data                 1 chqcd                     0       3124 2.6423E+12
lep_data                 1 chqcd                     1       1474 1.8890E+11
public_user              1 chqcd                     0        542 4.3719E+11
user_new                 1 chqcd                     0       4441 1.1273E+13
user_new                 1 chqcd                     1       3798 6.7264E+10
user_small               1 chqcd                     0          7 8455717032
vuser_new                1 chqcd                     0         13 3.0425E+10
lep_data                 2 chqcd                     0       3124 2.6423E+12
lep_data                 2 chqcd                     1       1474 1.8890E+11
public_user              2 chqcd                     0        542 4.3719E+11
user_new                 2 chqcd                     0       4440 1.1257E+13
user_new                 2 chqcd                     1       3798 6.7264E+10
user_small               2 chqcd                     0          8 9663676608
vuser_new                2 chqcd                     0         13 4.5147E+10
user_new                 3 chqcd                     0          5 1911029880
user_small               3 chqcd                     0         13 2.0611E+10
user_small               3 chqcd                     1          3 10451683
cms                      1 cms                       0      40469 4.7571E+13
cms                      1 cms                       1     347723 1.0814E+13
cms_csa_07               1 cms                       0        592 1.8261E+12
cms_csa_07               1 cms                       1        718 1.5532E+10
cms_prod_08              1 cms                       0          6 1.7784E+10
cms_prod_08              1 cms                       1          6 27037752
cms_raw_08               1 cms                       0         14 4.4036E+10
cms_raw_08               1 cms                       1         39 393183348
cms_stream_08            1 cms                       0         10 3.5809E+10
cms_stream_08            1 cms                       1         31 166283140
cms_t10k                 1 cms                       0    1141818 2.2811E+15
cms_t10k                 1 cms                       1    1314627 6.9379E+13
cms_temp_test            1 cms                       0          2 5179312139
cmsfamily_new1           1 cms                       0     357586 4.8268E+14
cmsfamily_new1           1 cms                       1    1400908 6.2990E+13
cmsfamily_new2           1 cms                       0         44 9.9700E+10
cmsfamily_new2           1 cms                       1         88 9759482004
cmsfamily_new4           1 cms                       0         46 9.4035E+10
cmsfamily_new4           1 cms                       1       8409 2.1327E+11
compass                  1 cms                       0        205 3.1841E+11
compass                  1 cms                       1        150 2.1688E+10
compass7_1               1 cms                       0        124 2.4395E+11
compass7_1               1 cms                       1          4 18258987
default                  1 cms                       0         12 5313523046
default                  1 cms                       1      16245 4.3811E+11
na48_new1                1 cms                       0       1906 2.9518E+12
na48_new1                1 cms                       1        145 9183275450
user_new                 1 cms                       0        153 3.4577E+11
user_new                 1 cms                       1       2599 7.7009E+10
user_small               1 cms                       0        765 1.0774E+12
user_small               1 cms                       1       2712 1.8173E+11
vcms                     1 cms                       0       2595 3.0232E+12
vcms                     1 cms                       1      25481 7.9607E+11
vcms_csa_07              1 cms                       0         40 5.5945E+10
vcms_stream_08           1 cms                       0        162 2.7350E+11
vcms_stream_08           1 cms                       1         44 1335470165
vcms_t10k                1 cms                       0      16150 3.2617E+13
vcms_t10k                1 cms                       1      49137 1.6902E+12
vcmsfamily_new1          1 cms                       0       2486 4.6975E+12
vcmsfamily_new1          1 cms                       1       3212 2.4365E+11
vcompass                 1 cms                       0         14 2.2426E+10
vna481                   1 cms                       0        184 3.0216E+11
vna481                   1 cms                       1         25 528235437
vna48_new1               1 cms                       0        327 4.9659E+11
vna48_new1               1 cms                       1          9 838174073
cms                      2 cms                       0       1101 1.1640E+12
cms                      2 cms                       1      13488 3.2918E+11
cms_t10k                 2 cms                       0         34 1.7016E+11
cms_t10k                 2 cms                       1         29 3647072645
default                  2 cms                       1        219 5421449216
vcms                     2 cms                       0         45 4.8495E+10
vcms                     2 cms                       1        578 1.3299E+10
cms                      3 cms                       0          4 5929992192
cms                      3 cms                       1       3328 7.7605E+10
default                  3 cms                       1        491 1.2405E+10
vcms                     3 cms                       0          1 652247040
vcms                     3 cms                       1        304 7281169042
cms                      4 cms                       0          3 5253726208
cms                      4 cms                       1       1010 2.4620E+10
default                  4 cms                       1        154 3885400064
vcms                     4 cms                       1        150 3814421811
cms                      5 cms                       0          3 5253726208
cms                      5 cms                       1        123 2881808860
default                  5 cms                       1         18 450166784
vcms                     5 cms                       1         28 737345536
cms                      6 cms                       0          3 5253726208
cms                      6 cms                       1          8 29775222
cms                      7 cms                       0          2 3547037696
cms                      7 cms                       1          2 3997696
cms                      8 cms                       0          2 3547037696
cms                      8 cms                       1          2 3997696
cms                      9 cms                       0          2 3547037696
cms                      9 cms                       1          2 3997696
cms_prod_08              1 cms_production            0     460583 2.6781E+15
cms_prod_08              1 cms_production            1     142393 2.4525E+12
cms_user                 1 cms_production            0       1198 1.1006E+13
cms_user                 1 cms_production            1      10667 5.8990E+11
user_new                 1 cms_production            0       1460 1.4738E+13
user_new                 1 cms_production            1        112 3961117768
cms_csa_07               1 cms_raw                   1         39 2826905566
cms_raw_08               1 cms_raw                   0     409499 2.3961E+15
cms_raw_08               1 cms_raw                   1      58899 2.1327E+12
cms_t10k                 1 cms_raw                   1          4 231901431
test_ibm_under           1 cms_raw                   0        168 3.1980E+12
test_ibm_under           1 cms_raw                   1          4 186559298
user_new                 1 cms_raw                   0          1 3.6656E+10
user_small               1 cms_raw                   0        138 2.2427E+12
cms_t10k                 2 cms_raw                   0          1 2.9483E+10
cms_t10k                 3 cms_raw                   0          1 3.0095E+10
test_ibm_under           3 cms_raw                   0          1 3.1103E+10
cms_csa_07               1 cms_streamer              0        227 1.5177E+11
cms_csa_07               1 cms_streamer              1     262095 1.8710E+12
cms_prod_08              1 cms_streamer              1       2851 4.3132E+10
cms_raw_08               1 cms_streamer              0          6 3832689281
cms_raw_08               1 cms_streamer              1      10683 1.1775E+11
cms_stream_08            1 cms_streamer              0     179781 1.3109E+14
cms_stream_08            1 cms_streamer              1   20021402 3.9146E+14
cms_t10k                 1 cms_streamer              0         28 1.7792E+10
cms_t10k                 1 cms_streamer              1      63896 5.6354E+11
cms_temp_test            1 cms_streamer              1       1740 1.5617E+10
user_new                 1 cms_streamer              0          4 1.3103E+11
user_new                 1 cms_streamer              1          1 1058392
vcms_stream_08           1 cms_streamer              0     618464 4.4912E+14
vcms_stream_08           1 cms_streamer              1   13351310 4.1744E+14
cms_raw_08               1 cms_temp                  0          4 9301617659
cms_temp_test            1 cms_temp                  0        272 7.6932E+11
cms_temp_test            1 cms_temp                  1         15 639752551
cms_testdata             1 cms_temp                  0       9672 5.3538E+13
cms_testdata             1 cms_temp                  1       1157 2.7417E+10
cms_csa_07               1 cms_test                  0      63020 1.1133E+14
cms_csa_07               1 cms_test                  1        564 1.4904E+11
cms_t10k                 1 cms_test                  0       1203 2.1780E+12
cmsfamily_new1           1 cms_test                  0       1708 4.0092E+12
user_new                 1 cms_test                  0        445 2.5710E+12
vcms_csa_07              1 cms_test                  0      70500 1.2643E+14
vcms_csa_07              1 cms_test                  1       1598 4.2706E+11
vcms_t10k                1 cms_test                  0        455 8.6165E+11
cms_csa_07               1 cmscdr                    0          8 1.2409E+10
cms_t10k                 1 cmscdr                    0        751 1.0882E+12
cms_t10k                 1 cmscdr                    1       1232 2.9700E+10
cmscdr1                  1 cmscdr                    0       2244 1.3219E+12
cmscdr1                  1 cmscdr                    1      39013 1.7293E+12
cmscdr2                  1 cmscdr                    0       1438 8.0536E+11
cmscdr2                  1 cmscdr                    1      24493 1.3529E+12
cmsfamily_new1           1 cmscdr                    0      28231 2.1417E+13
cmsfamily_new1           1 cmscdr                    1     181524 6.7232E+12
cmsfamily_new2           1 cmscdr                    0          1 569085235
cmsfamily_new2           1 cmscdr                    1          3 202871106
compass                  1 cmscdr                    0         19 1.8864E+10
compass                  1 cmscdr                    1        265 7800089303
compass7_1               1 cmscdr                    1          1 1358929
na48_new1                1 cmscdr                    0         60 9.3205E+10
na48_new1                1 cmscdr                    1         69 1939086341
user_new                 1 cmscdr                    0        141 5.5641E+10
user_new                 1 cmscdr                    1       6770 2.1263E+11
user_small               1 cmscdr                    1        318 3.9708E+10
vcms_csa_07              1 cmscdr                    0         16 2.2852E+10
vcms_stream_08           1 cmscdr                    0          9 1.3649E+10
vcms_stream_08           1 cmscdr                    1          8 51965199
vcms_t10k                1 cmscdr                    0         38 4.7104E+10
vcms_t10k                1 cmscdr                    1         56 1314766009
vcmscdr1                 1 cmscdr                    0       1077 6.4444E+11
vcmscdr1                 1 cmscdr                    1      19483 9.3195E+11
vcmscdr2                 1 cmscdr                    0       1060 5.3117E+11
vcmscdr2                 1 cmscdr                    1      17827 8.2281E+11
vcmsfamily_new1          1 cmscdr                    1        148 1327403420
vna481                   1 cmscdr                    0         17 2.4267E+10
vna481                   1 cmscdr                    1          2 1591578
vna48_new1               1 cmscdr                    0          8 1.2340E+10
vna48_new1               1 cmscdr                    1          7 12469796
vuser_new                1 cmscdr                    0          9 3511920028
vuser_new                1 cmscdr                    1        215 8048026030
cms_t10k                 2 cmscdr                    0        802 1.1487E+12
cms_t10k                 2 cmscdr                    1       1304 3.2017E+10
cmscdr1                  2 cmscdr                    0       1770 9.5006E+11
cmscdr1                  2 cmscdr                    1      29986 1.5103E+12
cmscdr2                  2 cmscdr                    0       1900 1.1514E+12
cmscdr2                  2 cmscdr                    1      31491 1.5182E+12
cmsfamily_new2           2 cmscdr                    0      28244 2.1423E+13
cmsfamily_new2           2 cmscdr                    1     182357 6.7782E+12
compass                  2 cmscdr                    0         13 1.2089E+10
compass                  2 cmscdr                    1        180 5009945665
na48_new1                2 cmscdr                    0         42 5.3030E+10
na48_new1                2 cmscdr                    1         82 1911881139
user_new                 2 cmscdr                    0        134 5.2170E+10
user_new                 2 cmscdr                    1       6488 2.0216E+11
user_small               2 cmscdr                    0          1 450316434
user_small               2 cmscdr                    1        189 9893173441
vcms_csa_07              2 cmscdr                    0          1 1545156999
vcms_stream_08           2 cmscdr                    0          6 9234962280
vcms_stream_08           2 cmscdr                    1          3 14422398
vcms_t10k                2 cmscdr                    0         40 7.1014E+10
vcms_t10k                2 cmscdr                    1         43 1456543905
vcmscdr1                 2 cmscdr                    0        900 5.0925E+11
vcmscdr1                 2 cmscdr                    1      18541 9.1033E+11
vcmscdr2                 2 cmscdr                    0       1248 6.9179E+11
vcmscdr2                 2 cmscdr                    1      20615 8.8855E+11
vna481                   2 cmscdr                    0         11 2.0784E+10
vna481                   2 cmscdr                    1          8 79310111
vna48_new1               2 cmscdr                    0         11 1.6566E+10
vna48_new1               2 cmscdr                    1         19 331223213
vuser_new                2 cmscdr                    0          4 1715050366
vuser_new                2 cmscdr                    1        137 4553048206
cmscdr1                  3 cmscdr                    0          4 1919144146
cmscdr1                  3 cmscdr                    1          7 774600099
cmscdr2                  3 cmscdr                    0          1 419113662
cmscdr2                  3 cmscdr                    1         14 1203039972
cmsfamily_new1           3 cmscdr                    0         36 1.0986E+10
cmsfamily_new1           3 cmscdr                    1          8 431998863
user_small               3 cmscdr                    1         10 60007131
vcmscdr1                 3 cmscdr                    1          3 222481212
vcmscdr2                 3 cmscdr                    1          4 17479278
cmscdr1                  4 cmscdr                    0          1 419113662
cmscdr1                  4 cmscdr                    1          6 645740363
vcmscdr1                 4 cmscdr                    1          4 435777690
vcmscdr2                 4 cmscdr                    1          1 219479040
vcmscdr2                 5 cmscdr                    1          1 5276160
cms                      1 cmsdigits                 0       6113 8.0937E+12
cms                      1 cmsdigits                 1       6867 6.5978E+11
cmsfamily_new1           1 cmsdigits                 0       5855 2.1317E+12
cmsfamily_new1           1 cmsdigits                 1      41716 4.1904E+12
user_small               1 cmsdigits                 0         66 8.4837E+10
user_small               1 cmsdigits                 1         45 2187329536
vcms                     1 cmsdigits                 0        524 6.4761E+11
vcms                     1 cmsdigits                 1       1108 1.5085E+11
cms                      2 cmsdigits                 0        207 3.0906E+11
cms                      2 cmsdigits                 1         47 2608660480
vcms                     2 cmsdigits                 0          7 9614557184
vcms                     2 cmsdigits                 1          2 319062016
cms                      3 cmsdigits                 0          2 2181758976
cms                      3 cmsdigits                 1          1 92307456
vcms                     3 cmsdigits                 1          2 172097536
cms                      4 cmsdigits                 0          1 621871104
cms                      4 cmsdigits                 1          1 92307456
cms                      5 cmsdigits                 0          1 621871104
cms                      6 cmsdigits                 0          1 621871104
cms                      7 cmsdigits                 0          1 621871104
cms                      1 cmsdst                    0      40052 7.5378E+13
cms                      1 cmsdst                    1       6038 3.1682E+11
cmsfamily_new4           1 cmsdst                    0       1229 1.0967E+12
cmsfamily_new4           1 cmsdst                    1        510 6.9696E+10
na481                    1 cmsdst                    0          2 3972465127
user_small               1 cmsdst                    0         34 6.8278E+10
user_small               1 cmsdst                    1         87 6950250331
vcms                     1 cmsdst                    0       1944 3.6653E+12
vcms                     1 cmsdst                    1        137 8650027463
cms                      2 cmsdst                    0          1 1547230930
cms                      1 cmshits                   0       1354 1.3854E+12
cms                      1 cmshits                   1      30441 5.5224E+11
cmsfamily_new2           1 cmshits                   0       6818 2.6570E+12
cmsfamily_new2           1 cmshits                   1      20057 3.8190E+11
vcms                     1 cmshits                   0        156 1.6421E+11
vcms                     1 cmshits                   1       1897 3.0067E+10
cms                      2 cmshits                   0         23 1.5862E+10
cms                      2 cmshits                   1        240 6642071798
vcms                     2 cmshits                   0          2 922419200
vcms                     2 cmshits                   1         59 1419476272
cms                      3 cmshits                   1          4 251840193
vcms                     3 cmshits                   1          2 416972800
cms_t10k                 1 cmsimport                 0          3 4960776548
cms_t10k                 1 cmsimport                 1         47 1197527316
cmsfamily_new1           1 cmsimport                 0         17 3.1085E+10
cmsfamily_new1           1 cmsimport                 1      12097 2.7413E+11
cmsimport                1 cmsimport                 0         82 6.2193E+10
cmsimport                1 cmsimport                 1      11564 2.8800E+11
na48_new1                1 cmsimport                 1          6 619561432
user_new                 1 cmsimport                 0         15 6049366016
user_new                 1 cmsimport                 1        242 1.7399E+10
vna481                   1 cmsimport                 1          1 20688248
cms                      1 cmsmc                     0      15726 8.4146E+12
cms                      1 cmsmc                     1       2908 3.2667E+11
user_small               1 cmsmc                     0        120 5.5992E+10
vcms                     1 cmsmc                     0        763 4.6296E+11
vcms                     1 cmsmc                     1         49 5911047488
cms                      2 cmsmc                     0          4 2709411712
cms                      2 cmsmc                     1         10 1472954368
vcms                     2 cmsmc                     0          1 461703600
vcms                     2 cmsmc                     1          1 197754880
compass                  1 compass                   0     706139 7.0561E+14
compass                  1 compass                   1     147138 6.7635E+12
compass2                 1 compass                   0     690778 6.9029E+14
compass2                 1 compass                   1     167322 7.3275E+12
compass7_1               1 compass                   0    3602161 3.5842E+15
compass7_1               1 compass                   1    4559922 2.0125E+14
compass7_2               1 compass                   0    3441655 3.4106E+15
compass7_2               1 compass                   1    3315525 1.4967E+14
compasschunks10          1 compass                   0     426009 2.0173E+14
compasschunks10          1 compass                   1    1605846 8.3076E+13
compassdst7_1            1 compass                   0       7405 1.4762E+13
compassdst7_1            1 compass                   1         30 4607952857
default                  1 compass                   0        249 2.1947E+11
default                  1 compass                   1        412 2.3720E+10
na481                    1 compass                   0          1 1026669020
public_user              1 compass                   0      36299 1.3498E+13
public_user              1 compass                   1      75768 6.4153E+12
user_new                 1 compass                   0       1744 1.7465E+12
user_new                 1 compass                   1       4333 1.6583E+11
user_small               1 compass                   0       1412 1.4733E+12
user_small               1 compass                   1       3865 1.5843E+11
vcompass                 1 compass                   0       2793 2.8619E+12
vcompass                 1 compass                   1        179 1.1685E+10
vcompass2                1 compass                   0      15662 1.5604E+13
vcompass2                1 compass                   1       3829 1.7941E+11
vcompass7_1              1 compass                   0       7450 7.3307E+12
vcompass7_1              1 compass                   1       2049 8.0803E+10
vcompass7_2              1 compass                   0      18230 1.6935E+13
vcompass7_2              1 compass                   1       9593 2.5877E+11
compass                  2 compass                   0        740 6.3763E+11
compass                  2 compass                   1        488 1.6510E+10
compass2                 2 compass                   0        612 5.1857E+11
compass2                 2 compass                   1       1030 2.6037E+10
compass7_1               2 compass                   0         21 2.3490E+10
compass7_1               2 compass                   1        536 1.9297E+10
compass7_2               2 compass                   0        118 1.1708E+11
compass7_2               2 compass                   1        969 5.0621E+10
compasschunks10          2 compass                   1         27 311018329
default                  2 compass                   1          1 68804608
vcompass2                2 compass                   0         26 2.7580E+10
vcompass2                2 compass                   1         49 719001850
compass                  3 compass                   0        336 2.5386E+11
compass                  3 compass                   1        283 1.1945E+10
compass2                 3 compass                   0        121 9.2092E+10
compass2                 3 compass                   1        517 8604360704
vcompass2                3 compass                   0          8 5169971200
vcompass2                3 compass                   1         49 760957960
compass                  4 compass                   0         56 3.5511E+10
compass                  4 compass                   1         46 2832171008
compass2                 4 compass                   0          8 6405972856
compass2                 4 compass                   1        137 1117446144
vcompass2                4 compass                   0          1 539516928
vcompass2                4 compass                   1          7 40029192
compass                  5 compass                   0          2 1340203008
compass                  5 compass                   1          9 300163072
compass2                 5 compass                   0          1 484212736
compass2                 5 compass                   1         31 434995200
vcompass2                5 compass                   1          2 933888
cms_csa_07               1 compassdst                1        597 1.5374E+10
compass                  1 compassdst                0      23963 1.6988E+13
compass                  1 compassdst                1    2203145 9.0020E+13
compass2                 1 compassdst                0      18448 1.5376E+13
compass2                 1 compassdst                1    2169435 7.9491E+13
compasschunks10          1 compassdst                0        736 1.4079E+12
compasschunks10          1 compassdst                1     247123 4.5081E+12
compassdst1              1 compassdst                0       5994 7.9148E+12
compassdst1              1 compassdst                1    1091212 4.9295E+13
compassdst2              1 compassdst                0       6039 8.0383E+12
compassdst2              1 compassdst                1    1091077 4.9322E+13
compassdst7_1            1 compassdst                0       2395 2.8941E+12
compassdst7_1            1 compassdst                1     259511 7.5899E+12
compassdst7_2            1 compassdst                0       2619 3.1910E+12
compassdst7_2            1 compassdst                1     264565 8.0512E+12
default                  1 compassdst                0        230 1.6344E+11
default                  1 compassdst                1      67165 1.5193E+12
lep_data                 1 compassdst                0         69 5.1233E+10
lep_data                 1 compassdst                1       8229 2.0393E+11
public_user              1 compassdst                1      72944 1.0761E+12
user_new                 1 compassdst                0       1405 2.3135E+12
user_new                 1 compassdst                1     148892 5.9264E+12
vcms_csa_07              1 compassdst                1        604 1.5508E+10
vcompass2                1 compassdst                0         15 9956566353
vcompass2                1 compassdst                1       2292 6.6291E+10
vlep_data                1 compassdst                1          4 99658741
vuser_new                1 compassdst                1         10 186285747
compass                  2 compassdst                0          3 2447859624
compass                  2 compassdst                1        114 7357108103
compass2                 2 compassdst                0          4 4484594728
compass2                 2 compassdst                1        118 6752896614
compassdst1              2 compassdst                0         21 3.0138E+10
compassdst1              2 compassdst                1       1196 1.3950E+11
compassdst2              2 compassdst                0          2 3009253865
compassdst2              2 compassdst                1       1328 1.6887E+11
default                  2 compassdst                1          2 567738572
user_new                 2 compassdst                0          1 1506700608
compass                  3 compassdst                1          1 14933841
compass2                 3 compassdst                1          1 12681899
compassdst1              3 compassdst                1          3 285064767
compassdst2              3 compassdst                1          5 175730269
compasschunks10          1 compassmdst               0          1 1.3752E+11
compasschunks10          1 compassmdst               1      17132 1.2533E+12
compassdst7_1            1 compassmdst               0      38627 9.6309E+13
compassdst7_1            1 compassmdst               1    1677170 2.7000E+13
compassdst7_2            1 compassmdst               0      11422 2.4633E+13
compassdst7_2            1 compassmdst               1     523190 1.4460E+13
public_user              1 compassmdst               0          1 658343295
public_user              1 compassmdst               1          2 89671123
user_new                 1 compassmdst               0          8 4.0761E+10
user_new                 1 compassmdst               1          4 190908353
compasschunks10          2 compassmdst               0          1 1.3752E+11
compasschunks10          2 compassmdst               1      17132 1.2533E+12
compassdst7_1            2 compassmdst               0      10362 2.2176E+13
compassdst7_1            2 compassmdst               1     544740 1.5159E+13
compassdst7_2            2 compassmdst               0      39664 9.8698E+13
compassdst7_2            2 compassmdst               1    1655111 2.6296E+13
public_user              2 compassmdst               0          1 658343295
public_user              2 compassmdst               1          2 89671123
user_new                 2 compassmdst               0          8 4.0761E+10
user_new                 2 compassmdst               1          4 190908353
compasschunks10          3 compassmdst               1          1 7940197
compassdst7_1            3 compassmdst               1         63 500853154
compass7_1               1 compassmdsttest           1         50 140434279
compass7_2               1 compassmdsttest           1          6 16852039
compasschunks10          1 compassmdsttest           0     188878 1.7436E+14
compasschunks10          1 compassmdsttest           1    8691378 3.7468E+14
public_user              1 compassmdsttest           0      70766 4.1267E+13
public_user              1 compassmdsttest           1     967088 3.2614E+13
user_new                 1 compassmdsttest           0      31177 4.1144E+13
user_new                 1 compassmdsttest           1    1710221 1.1000E+14
compasschunks10          2 compassmdsttest           1          4 317612878
compass                  1 compassmig00              0      11553 1.1070E+13
compass                  1 compassmig00              1       1808 2.2664E+11
compass2                 1 compassmig00              0      12396 1.1848E+13
compass2                 1 compassmig00              1       4141 2.2914E+11
vcompass                 1 compassmig00              0         11 1.0476E+10
vcompass2                1 compassmig00              0        210 2.0599E+11
vcompass2                1 compassmig00              1          5 615577860
compass                  2 compassmig00              0          1 1000008152
compass                  2 compassmig00              1          1 19119824
compass2                 2 compassmig00              0          1 1000024376
compass2                 2 compassmig00              1          1 3312212
compass                  1 compassmig10              0      12128 1.1292E+13
compass                  1 compassmig10              1       2007 2.3704E+11
compass2                 1 compassmig10              0      11960 1.1256E+13
compass2                 1 compassmig10              1       1534 1.9135E+11
vcompass2                1 compassmig10              0        165 1.5863E+11
vcompass2                1 compassmig10              1         17 2140067364
compass                  2 compassmig10              0          5 5000092600
compass                  3 compassmig10              0          2 2000042112
compass                  1 compassmig20              0      12544 1.1794E+13
compass                  1 compassmig20              1       1476 2.0049E+11
compass2                 1 compassmig20              0      12075 1.1333E+13
compass2                 1 compassmig20              1       1711 2.2278E+11
vcompass                 1 compassmig20              0         36 3.5927E+10
vcompass2                1 compassmig20              0         39 3.7646E+10
vcompass2                1 compassmig20              1          7 1147884444
compass                  2 compassmig20              0          3 3000036764
compass                  1 compassmig30              0      12203 1.1484E+13
compass                  1 compassmig30              1       1923 2.2679E+11
compass2                 1 compassmig30              0      12059 1.1316E+13
compass2                 1 compassmig30              1       1711 2.1775E+11
vcompass                 1 compassmig30              0         90 8.9498E+10
vcompass                 1 compassmig30              1          3 249489520
vcompass2                1 compassmig30              0        121 1.0936E+11
vcompass2                1 compassmig30              1         13 1885257048
compass                  2 compassmig30              0          6 5675610820
compass                  2 compassmig30              1          1 222099384
compass2                 2 compassmig30              0          9 8464926536
vcompass2                2 compassmig30              0          5 5000036376
compass2                 3 compassmig30              0          1 1000005028
compass                  1 compassmig40              0      11927 1.1174E+13
compass                  1 compassmig40              1       1640 1.8147E+11
compass2                 1 compassmig40              0      11252 1.0470E+13
compass2                 1 compassmig40              1       1770 1.8625E+11
vcompass                 1 compassmig40              0         45 4.3277E+10
vcompass                 1 compassmig40              1          3 459724516
vcompass2                1 compassmig40              0          7 6210395284
compass                  2 compassmig40              0         11 1.0900E+10
compass2                 2 compassmig40              0          1 320799644
compass                  1 compassmig50              0      11296 1.0533E+13
compass                  1 compassmig50              1       1986 2.1890E+11
compass2                 1 compassmig50              0      10652 9.9405E+12
compass2                 1 compassmig50              1       1749 1.8729E+11
vcompass                 1 compassmig50              0         72 6.8563E+10
vcompass                 1 compassmig50              1          1 195109968
vcompass2                1 compassmig50              0        131 1.1916E+11
vcompass2                1 compassmig50              1         18 2187041016
compass2                 2 compassmig50              0          6 6000139492
compass                  1 compassmig60              0      13054 1.2187E+13
compass                  1 compassmig60              1       1706 2.1067E+11
compass2                 1 compassmig60              0      11653 1.0877E+13
compass2                 1 compassmig60              1       1630 1.9731E+11
vcompass                 1 compassmig60              0         74 7.0015E+10
vcompass                 1 compassmig60              1          4 841491908
vcompass2                1 compassmig60              0        202 1.8753E+11
vcompass2                1 compassmig60              1         19 3065894208
compass2                 2 compassmig60              0         10 8133259928
compass2                 2 compassmig60              1          1 26753856
compass2                 3 compassmig60              0          2 1544895140
vcompass2                3 compassmig60              0          1 1000007524
compass                  1 compassmig70              0      12380 1.1506E+13
compass                  1 compassmig70              1       1960 2.4680E+11
compass2                 1 compassmig70              0      11626 1.0933E+13
compass2                 1 compassmig70              1       1677 2.0362E+11
vcompass2                1 compassmig70              0         44 3.9688E+10
vcompass2                1 compassmig70              1          4 333928228
compass                  2 compassmig70              0          4 3596907692
compass                  2 compassmig70              1          1 206367764
compass2                 2 compassmig70              0          6 6000037152
compass                  1 compassmig80              0      13424 1.2545E+13
compass                  1 compassmig80              1       2089 2.5898E+11
compass2                 1 compassmig80              0      12428 1.1676E+13
compass2                 1 compassmig80              1       1590 1.9722E+11
vcompass                 1 compassmig80              0         13 1.3000E+10
vcompass                 1 compassmig80              1          1 173391816
vcompass2                1 compassmig80              0        129 1.2415E+11
vcompass2                1 compassmig80              1          6 733657476
compass                  2 compassmig80              0          5 5000064404
compass                  2 compassmig80              1          1 248829200
compass2                 2 compassmig80              0          4 4000088496
compass2                 2 compassmig80              1          1 246130904
vcompass2                2 compassmig80              1          1 225271012
compass                  1 compassmig90              0      11927 1.1159E+13
compass                  1 compassmig90              1       1575 1.8572E+11
compass2                 1 compassmig90              0      11846 1.1105E+13
compass2                 1 compassmig90              1       1715 2.1142E+11
vcompass2                1 compassmig90              0        285 2.7462E+11
vcompass2                1 compassmig90              1         16 2217792424
compass                  2 compassmig90              0          3 2862653616
compass2                 2 compassmig90              0          4 4000089432
vcompass2                2 compassmig90              0          2 1513520824
compass2                 3 compassmig90              0          1 1000015956
default                  1 delphi                    0         56 2.8517E+10
default                  1 delphi                    1      22050 1.2462E+12
lep_data                 1 delphi                    0       4616 1.9170E+12
lep_data                 1 delphi                    1     274852 1.7749E+13
na481                    1 delphi                    0          6 1966648320
na481                    1 delphi                    1       1370 1.9421E+11
user_new                 1 delphi                    0        549 3.6285E+11
user_new                 1 delphi                    1       2112 1.1418E+11
vlep_data                1 delphi                    1        331 2.0396E+10
default                  2 delphi                    1          4 535756800
lep_data                 2 delphi                    0       3460 1.4763E+12
lep_data                 2 delphi                    1     228636 1.4500E+13
vlep_data                2 delphi                    0       1457 5.9300E+11
vlep_data                2 delphi                    1      71008 4.7703E+12
lep_data                 3 delphi                    1          2 175948800
lep_data                 1 delphi_archive            0         21 1.6053E+10
lep_data                 1 delphi_archive            1       6069 2.1773E+11
public_user              1 delphi_archive            0          2 3211264000
user_new                 1 delphi_archive            0         18 1.9896E+10
user_new                 1 delphi_archive            1          6 331468800
lep_data                 2 delphi_archive            1          5 322867200
user_small               2 delphi_archive            0         41 3.9160E+10
user_small               2 delphi_archive            1       6070 2.1774E+11
lep_data                 1 delphi_user               0         55 2.0125E+10
lep_data                 1 delphi_user               1       3110 6.2646E+11
na481                    1 delphi_user               0         22 7901446144
na481                    1 delphi_user               1        435 9.9537E+10
lep_data                 2 delphi_user               1          6 1704968192
user_small               2 delphi_user               0         77 2.8027E+10
user_small               2 delphi_user               1       3539 7.2430E+11
lep_data                 1 diraccdr                  0      24637 7.8303E+12
lep_data                 1 diraccdr                  1      25263 1.4707E+12
public_user              1 diraccdr                  0       3559 4.9426E+12
public_user              1 diraccdr                  1      23471 6.8815E+11
user_new                 1 diraccdr                  0      20384 7.6647E+12
user_new                 1 diraccdr                  1      21228 8.5812E+11
user_small               1 diraccdr                  0         57 1.7989E+10
user_small               1 diraccdr                  1          8 1273176268
vuser_new                1 diraccdr                  1          1 684032
