71,WORKER_RECALL_COMPLETED_UPDATE_DB,"Worker: update the db after full recall completed"
72,WORKER_MIGRATION_NOTIFIED,"Worker: received migration notification"
73,WORKER_MIGRATION_GET_DB_INFO,"Worker: getting data from db for migrated file"
74,WORKER_MIGRATION_FILE_NOT_FOUND,"Worker: migrated file not found"
75,WORKER_MIGRATION_VMGR_UPDATE,"Worker: updating vmgr for migrated file"
76,WORKER_MIGRATION_NS_UPDATE,"Worker: updating nameserver for migrated file"
77,WORKER_REPACK_NS_UPDATE,"Worker: updating nameserver for repacked file"
78,WORKER_MIGRATION_NS_FAILURE,"Worker: nameserver error for migrated/repacked file"
79,WORKER_MIGRATION_VMGR_FAILURE,"Worker: vmgr error for migrated/repacked file"
80,WORKER_MIGRATION_DB_UPDATE,"Worker: updating db for migrated file"
81,WORKER_MIGRATION_CANNOT_UPDATE_DB,"Worker: cannot update db for migrated file"
82,WORKER_RECALL_REQUESTED,"Worker: file to recall requested"
83,WORKER_RECALL_RETRIEVED,"Worker: file to recall retrieved from db"
84,WORKER_RECALL_RETRIEVING_DB_ERROR,"Worker: db error while retrieving file to recall"
85,WORKER_NO_FILE_TO_RECALL,"Worker: no more file to recall"
86,WORKER_MIGRATION_REQUESTED,"Worker: file to migrate requested"
87,WORKER_MIGRATION_RETRIEVED,"Worker: file to migrate retrieved from db"
88,WORKER_MIGRATION_RETRIEVING_DB_ERROR,"Worker: db error while retrieving file to migrate"
89,WORKER_NO_FILE_TO_MIGRATE,"Worker: no more file to migrate"
90,WORKER_END_NOTIFICATION,"Worker: received end transaction notification"
91,WORKER_END_DB_UPDATE,"Worker: updating db after end transaction"
92,WORKER_END_DB_ERROR,"Worker: db error while updating for end transaction"
93,WORKER_END_GET_TAPE_TO_RELEASE,"Worker: getting tape used"
94,WORKER_END_RELEASE_TAPE,"Worker: releasing BUSY tape after end transaction"
95,WORKER_CANNOT_RELEASE_TAPE,"Worker: cannot release BUSY tape after end transaction"
96,WORKER_TAPE_MAKED_FULL,"Worker: set tape as FULL"
97,WORKER_CANNOT_MARK_TAPE_FULL,"Worker: cannot set the tape as FULL"
98,WORKER_FAIL_NOTIFICATION,"Worker: received end notification error report"
99,WORKER_FAIL_DB_UPDATE,"Worker: updating db after end notification error report"
100,WORKER_FAIL_DB_ERROR,"Worker: db error while updating for end notification error report"
101,WORKER_FAIL_GET_TAPE_TO_RELEASE,"Worker: getting tape used during failure"
102,WORKER_FAIL_RELEASE_TAPE,"Worker: releasing BUSY tape after end notification error report"
103,ORA_FILE_TO_MIGRATE_NS_ERROR,"Worker: OraTapeGatewaySvc: failed check against the nameserver for file to migrate"
104,ORA_DB_ERROR,"Worker: OraTapeGatewaySvc: impossible to update db after failure"
105,ORA_IMPOSSIBLE_TO_SEND_RMMASTER_REPORT_NOT_USED,"Deleted Message - Should not be used"
106,ORA_FILE_TO_RECALL_NS_ERROR,"Worker: OraTapeGatewaySvc: failed check against the nameserver for file to recall"
107,LINKER_NOT_POOL_REPL_107,"TapeStreamLinker: this tapepool does not exist"
108,TAPE_GATEWAY_FAILED_TO_START,"TapeGateway failed to start"
109,INTERNAL_ERROR,"Internal error"
110,VDQMREQUESTSPRODUCER_PROCESS_FAILED,"VdqmRequestsProducerThread::process() failed"
111,LINKER_VMGRSETTOREADONLY_FAILED_REPL_111,"TapeStreamLinker: failed to set the tape to read only"
112,LINKER_VMGR_NS_DISCREPANCY_REPL_112,"TapeStreamLinker: NS/VMGR mismatch for highest FSEQ. Putting the tape readonly"
113,WORKER_REPACK_STALE_FILE,"Worker: file changed during repack: nothing to do"
114,WORKER_REPACK_UNCONFIRMED_STALE_FILE,"Worker: segment to repack is gone, but file change unconfirmed"
115,WORKER_REPACK_FILE_REMOVED,"Worker: file no found on segment update for repack"
116,WORKER_FAIL_NOTIFICATION_FOR_FILE,"Worker: received end notification error report for file"
117,CHECKER_CANNOT_RELEASE_TAPE,"VdqmRequestsChecker: cannot release BUSY tape after end transaction"
118,VMGR_GATEWAY_HELPER_RETRYING,"VmgrTapeGatewayHelper::TapeInfo: will retry VMGR query"
119,WORKER_MIG_REPORT_LIST_RECEIVED,"Worker: received a migration report list"
120,WORKER_MIG_REPORT_LIST_PROCESSED,"Worker: finished processing a migration report list"
121,WORKER_REC_REPORT_LIST_RECEIVED,"Worker: received a recall report list"
122,WORKER_REC_REPORT_LIST_PROCESSED,"Worker: finished processing a recall report list"
123,WORKER_MIG_CANNOT_FIND_VID,"Worker: cannot find VID for migration mount"
124,WORKER_MIG_TAPE_RDONLY,"Worker: tape set to readonly after failed fSeq update"
125,WORKER_MIG_CANNOT_RDONLY,"Worker: failed to set tape to readonly after failed fSeq update"
126,WORKER_FILE_ERROR_REPORT_REPL_126,"Worker: Tape server reported a file error"
127,WORKER_FILE_ERROR_REPORT,"Worker: Tape server reported a file error"
129,LINKER_GETTING_MIGRATION_MOUNTS,"TapeMigrationMountLinker: getting migration mounts to resolve"
130,LINKER_NO_MIGRATION_MOUNT,"TapeMigrationMountLinker: no migration mount to resolve"
131,LINKER_QUERYING_VMGR,"TapeMigrationMountLinker: querying vmgr"
132,LINKER_LINKING_TAPE_MOUNT,"TapeMigrationMountLinker: association tape-mount done"
133,LINKER_CANNOT_UPDATE_DB,"TapeMigrationMountLinker: cannot update db"
134,LINKER_RELEASED_BUSY_TAPE,"TapeMigrationMountLinker: released BUSY tape"
135,LINKER_NO_TAPE_AVAILABLE,"TapeMigrationMountLinker: No tape available in such tapepool"
136,LINKER_MOUNTS_FOUND,"TapeMigrationMountLinker: migration mounts found"
137,LINKER_TAPES_ATTACHED,"TapeMigrationMountLinker: tapes attached to migration mounts"
138,MIG_ERROR_GETTING_FILES,"MigratorErrorHandlerThread: getting failed migration job"
139,MIG_ERROR_NO_JOB,"MigratorErrorHandlerThread: no migration job found"
140,MIG_ERROR_JOBS_FOUND,"MigratorErrorHandlerThread: migration jobs found"
141,REC_ERROR_GETTING_FILES,"RecallerErrorHandlerThread: getting failed recall job"
142,REC_ERROR_NO_JOB,"RecallerErrorHandlerThread: no recall job found"
143,REC_ERROR_JOBS_FOUND,"RecallerErrorHandlerThread: recall jobs found"
144,LINKER_NOT_POOL,"TapeMigrationMountLinker: this tapepool does not exist"
145,LINKER_VMGRSETTOREADONLY_FAILED,"TapeMigrationMountLinker: failed to set the tape to read only"
146,LINKER_VMGR_NS_DISCREPANCY,"TapeMigrationMountLinker: NS/VMGR mismatch for highest FSEQ. Putting the tape readonly"
147,WORKER_SUPERFLUOUS_SEGMENT,"Worker: Name server declared segment was extra/unnecessary: considering migration done"
148,WORKER_RECALL_CANNOT_UPDATE_DB,"Worker: cannot update db for recalled file"
149,MOUNT_PRODUCER_START,"MigrationMountProducer: calling the DB procedure"
150,MOUNT_PRODUCER_DB_ERROR,"MigrationMountProducer: failure calling the DB procedure"
151,MOUNT_PRODUCER_REPORT,"MigrationMountProducer: created new migration mount"
152,MOUNT_PRODUCER_REPORT_NO_ACTION,"MigrationMountProducer: no need for new migration mount"
153,LINKER_CANNOT_RELEASE_TAPE,"TapeMigrationMountLinker: cannot release BUSY tape after failed DB update"
154,MIG_ERROR_DB_ERROR,"MigratorErrorHandlerThread: error fetching from the DB"
155,MOUNT_PRODUCER_REPORT_NO_FILE,"MigrationMountProducer: rolled back migration mount creation due to lack of jobs"
156,REC_ERROR_DB_ERROR,"RecallerErrorHandlerThread: error fetching from the DB"
157,WORKER_MIGRATION_LIST_RETRIEVED,"Worker: files to migrate retrieved in bulk from db"
160,PRODUCER_REQUEST_SUBMITTED,"VdqmRequestsProducer: request submitted to vdqm successfully"
161,WORKER_SET_SESSION_CLOSING,"Worker: set the session to closing after error"
162,LINKER_SESSION_IN_THE_WAY,"TapeMigrationMountLinker: found existing session for same tape and ended it"
163,WORKER_RECALL_LIST_RETRIEVED,"Worker: files to recall retrieved in bulk from db"

